file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0489_0073_392278_to_396356,ཨོ་ཨེ་འདྲའི་འདྲ་བོ་བྱས་ནས་ཡོད་བ། གཞན་པ་ད་གཉིད་ཁུག་ཡ་དཔེ་ཡག་པོ་རག་སོང་། ང་རང་འདྲ་བོ་ཆ་བཞག་ན་ད་ཡོད་བ།  ,o e 'dra'i 'dra bo byas nas yod ba/_gzhan pa da gnyid khug ya dpe yag po rag song /_nga rang 'dra bo cha bzhag na da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0073_392278_to_396356.wav,STT_NS,3,101,4.078,wav16k/STT_NS_M0489_0073_392278_to_396356.wav,ཨོ་ཨེ་འདྲའི་འདྲ་བོ་བྱས་ནས་ཡོད་བ། གཞན་པ་ད་གཉིད་ཁུག་ཡ་དཔེ་ཡག་པོ་རག་སོང་། ང་རང་འདྲ་བོ་ཆ་བཞག་ན་ད་ཡོད་བ།
STT_NS_M0489_0057_294308_to_303575,ཨེ་ནས་དང་ཤོས་ད་ཡོད་རཱ་ད་ང་ཚོ་ཆུང་ཆུང་ཡིན་དུས་ཙམ་པ། ཨེ་ནས་ཕ་མ་ལ་ད་གཅིག་ཨོང་ལྟོ་ཕད་བཀྱག་རོགས་དང་། ཨེ་ནས་གཅིག་མང་པོ་གཅིག་འཁྱེར་ཡ་འདུག་བ་ཡ།  ,e nas dang shos da yod rA da nga tsho chung chung yin dus tsam pa/_e nas pha ma la da gcig ong lto phad bkyag rogs dang /_e nas gcig mang po gcig 'khyer ya 'dug ba ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0057_294308_to_303575.wav,STT_NS,3,137,9.267,wav16k/STT_NS_M0489_0057_294308_to_303575.wav,ཨེ་ནས་དང་ཤོས་ད་ཡོད་རཱ། ད་ང་ཚོ་ཆུང་ཆུང་ཡིན་དུས་ཙམ་པ་ཨེ་ནས་ཕ་མ་ལ་ཡང་ད་ཅིག་ཨེ་ལྟོ་ཕད་བཀྱག་རོགས་དང་ཨེ་ནས་ཅིག་མང་པོ་ཅིག་ཁེར་ཡ་འདུག་བ་ཡ།
STT_NS_M0489_0060_317141_to_324734,ཡིན་ནས་ད་སོ་སོ་སྙིང་རྗེ་བུ་གུ་ནི་བཀྱག་ཐུབ་ཡ་ཡོད་མ་རེད་རཱ། ཨེ་ནས་བུ་གུ་གཅིག་ཟིམ་དགོས་འདུག་རཱ། ལྟོ་ཕད་གཅིག་ཟིམ་དགོས་འདུག་རཱ། ཨེ་ནས་ང་ཚོ་ནི།  ,yin nas da so so snying rje bu gu ni bkyag thub ya yod ma red rA/_e nas bu gu gcig zim dgos 'dug rA/_lto phad gcig zim dgos 'dug rA/_e nas nga tsho ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0060_317141_to_324734.wav,STT_NS,3,139,7.593,wav16k/STT_NS_M0489_0060_317141_to_324734.wav,ཡིན་ནས་ད་སོ་སོ་སྙིང་རྗེ་བུ་གུ་ནི་བཀྱག་ཐུབ་ཡ་ཡོད་མ་རེད་རཱ། ཨེ་ནས་བུ་གུ་གཅིག་ཟིམ་དགོས་འདུག་རཱ། ལྟོ་ཕད་གཅིག་ཟིམ་དགོས་འདུག་རཱ། ཨེ་ནང་ཚོ་ནི།
STT_NS_M0489_0062_329679_to_334567,ཨེ་ནས་མེ་འཁོར་ནང་ལོགས་ལ་བུ་གུ་བརླག་ཡ་འདྲ་བོ་དང་། མེ་འཁོར་ནང་དངུལ་བརླག་ཡ་དང་ཨེ་འདྲའི་སྐད་ཆ་མང་པོ་འདུག་བ།  ,e nas me 'khor nang logs la bu gu brlag ya 'dra bo dang /_me 'khor nang dngul brlag ya dang e 'dra'i skad cha mang po 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0062_329679_to_334567.wav,STT_NS,3,105,4.888,wav16k/STT_NS_M0489_0062_329679_to_334567.wav,ཨེ་ནས་མེ་འཁོར་ནང་ལོགས་ལ་བུ་གུ་བརླག་ཡ་འདྲ་བོ་དང་། མེ་འཁོར་ནང་དངུལ་བརླག་ཡ་དང་ཨེ་འདྲའི་སྐད་ཆ་མང་པོ་འདུག་བ།
STT_NS_M0489_0065_341638_to_348081,དེ་འདྲའི་འདྲ་བོ་རེད། ཨེ་ནས་ད་མེ་འཁོར་ནང་ལོགས་ལ་ང་རང་ཚོ་ཚང་མ་འགྲིག་སོང་རཱ་ཡང་། ཁ་ལག་དེ་ཚོ་ཚང་མ་རག་སོང་། ཁ་ལག་ཉོ་ཡ་རག་སོང་གང་ཚང་།  ,de 'dra'i 'dra bo red/_e nas da me 'khor nang logs la nga rang tsho tshang ma 'grig song rA yang /_kha lag de tsho tshang ma rag song /_kha lag nyo ya rag song gang tshang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0065_341638_to_348081.wav,STT_NS,3,129,6.443,wav16k/STT_NS_M0489_0065_341638_to_348081.wav,དེ་འདྲའི་འདྲ་བོ་རེད། ཨེ་ནས་ད་མེ་འཁོར་ནང་ལོགས་ལ་ང་རང་ཚོ་ཚང་མ་འགྲིག་སོང་རཱ་ཡ། ཁ་ལག་དེ་ཚོ་ཚང་མ་རག་སོང་། ཁ་ལག་ཉོ་ཡ་རག་སོང་གང་ཚང་།
STT_MV0570_0139_859239_to_868939,རྩེ་དྲ་སྦེ་ཧ་གོ་སོང་། ཡིན་ནས་བྱས་པ་སྦ། ཁྱེད་རང་ཚོའི་ཨ་མ་ལགས་ན་ཚ་ཆུང་ཆུང་རེད། དངངས་སྐྲག་ཁྱོན་ནས་མ་བྱེད་ཤིག ལེགས་སོ། ལེགས་སོ། ངས་མགྱོགས་པོ་གཤག་བཅོས་བྱེད་དགོས་ཧ་གོ་སོང་ང་། གང་མགྱོགས་མགྱོགས་བྱེད་དགོས། ཨེ་མ་ཅི་ལགས། ཨ་འོ་ད་དེ།  ,rtse dra sbe ha go song /_yin nas byas pa sba/_khyed rang tsho'i a ma lags na tsha chung chung red/_dngangs skrag khyon nas ma byed shig_legs so/_legs so/_ngas mgyogs po gshag bcos byed dgos ha go song nga /_gang mgyogs mgyogs byed dgos/_e ma ci lags/_a 'o da de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0570_0139_859239_to_868939.wav,STT_MV,3,222,9.7,wav16k/STT_MV0570_0139_859239_to_868939.wav,རྩེད་རྒྱབ་པེ་ཧ་གོ་སོང་ཨ། ལསེ། ཡིན་ནས་བྱེས་པ་སྦ། ། ཁྱེད་རང་ཚོའི་ཨ་མ་ལགས་ན་ཚ་ཡ་ཆུང་ཆུང་དེ་དངང་སྐྲགས་ཁྱོན་ནས་མེད་རྒྱོ་ཅིག ལ་། འོ་ངས་མགྱོགས་པོ་བཤག་བཅོས་བྱེད་དགོས་གོ་སོང་། ། འོ་ག་མགྱོགས་མགྱོགས་བྱེད་དགོས། ཨེམ་ཆི་ལགས། ཨའོ། ་
STT_PC0169_0059_411388_to_413500,ཕྱི་མོ་མང་ཡང་ཀུན་གྱི་ནང་ནས་མཆོག་གྱུར་པ།  ,phyi mo mang yang kun gyi nang nas mchog gyur pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0169_0059_411388_to_413500.wav,STT_PC,3,41,2.112,wav16k/STT_PC0169_0059_411388_to_413500.wav,ཕྱི་མོ་མང་ཡང་ཀུན་གྱི་ནང་ནས་མཆོག་གྱུར་པ།
STT_NS_M0489_0068_362077_to_364143,ཨེ་ནས་ཨོ་དེ་འདྲའི་འདྲ་བོ་སྐབས་སུ་ཨེ་ནས་ད།  ,e nas o de 'dra'i 'dra bo skabs su e nas da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0068_362077_to_364143.wav,STT_NS,3,43,2.066,wav16k/STT_NS_M0489_0068_362077_to_364143.wav,ཨེ་ནས་ཨོ་དེ་འདྲའི་འདྲ་བོའི་སྐབས་སུ་ཨེ་ནས་ད།
STT_NS_M0489_0072_384076_to_388580,གཉིད་ནི་ཡག་ཐག་ཆོད་ཁུག་ཡིན་རཱ། ད་ཕ་མ་དེ་ཚོ་གཉིད་ཁུག་ཡོད་མེད་ཧ་གོ་མ་སོང་རཱ་ཡང་སྙིང་རྗེ།  ,gnyid ni yag thag chod khug yin rA/_da pha ma de tsho gnyid khug yod med ha go ma song rA yang snying rje/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0489_0072_384076_to_388580.wav,STT_NS,3,87,4.504,wav16k/STT_NS_M0489_0072_384076_to_388580.wav,གཉིད་ནི་ཡག་ཐག་ཆོད་ཁུག་ཡིན་རཱ། ད་ཕ་མ་དེ་ཚོ་གཉིད་ཁུག་ཡོད་མེད་ཧ་གོ་མ་སོང་རཱ་ཡང་སྙིང་རྗེ།
STT_AB00294_0187_1964701_to_1968336,དེ་འདྲའི་སྒོར་མོ་མང་པོ་ཞིག་ལག་ཏུ་བཟུང་བ་ཐེངས་དང་པོ་ཡིན་པས་རེད།  ,de 'dra'i sgor mo mang po zhig lag tu bzung ba thengs dang po yin pas red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00294_0187_1964701_to_1968336.wav,STT_AB,3,64,3.635,wav16k/STT_AB00294_0187_1964701_to_1968336.wav,དེ་འདྲའི་སྒོར་མོ་མང་པོ་ཞིག་ལག་ཏུ་བཟུང་བ་ཐེངས་དང་པོ་ཡིན་པི་རེད།
